Original,Übersetzung,Adequacy,Fluency
"<seg id=""22""> Aber, wenn es ums Schreiben geht denke ich seit kurzem darüber nach und frage mich: warum? </seg>","But, when it comes to writing, I have lately been asking me: why?",4,4
"<seg id=""23""> Ist das vernünftig? </seg>",Is this reasonable?,5,5
"<seg id=""24""> Ist es logisch, dass von jemandem erwartet werden sollte, dass er Angst davor hat, die Arbeit zu tun zu der er sich berufen fühlt? </seg>",Is it logical that someone should be expected to be afraid of doing the work he feels about?,3,1
"<seg id=""25""> Und was genau ist mit den kreativen Unternehmungen los, dass sie uns unsicher über den gegenseitigen Geisteszustand machen – in einer Art, wie es andere Berufe nicht tun? </seg>",And what is going on with creative ventures that they make us uncertain about the mental state – in a way that other occupations do not?,3,2
"<seg id=""26""> Mein Vater, zum Beispiel, war Chemiker und ich kann mich an keine Situation in seinen 40 Jahren als Chemiker erinnern, in der er gefragt wurde, ob er Angst hätte, Chemiker zu sein. </seg>","My father, for example, was chemists, and I can't remember my situation in his 40 years as a chemists he asked whether he would have been afraid to be chemists.",2,2
"<seg id=""27""> Mit deiner Chemiker-Blockade, John – wie geht's Dir damit? </seg>","With your chemical blockade, John – what about you?",2,1
"<seg id=""28""> Es kam einfach nicht vor, wissen Sie? </seg>",They simply did not know?,1,4
"<seg id=""29""> Aber um fair zu sein – die Gruppe der Chemiker haben über die Jahrhunderte nicht den Ruf von alkoholsüchtigen manisch-depressive Menschen erhalten. </seg>","But, to be fair – the group of chemists have not received the centuries of reputations of alcohoan-depressive people.",2,2
"<seg id=""30""> Wir Schriftsteller scheinen aber diese Art von Ruf zu haben. Aber nicht nur die Schriftsteller, sondern die Kreativen aller Genres, scheinen diesen Ruf zu haben, mental ungeheuer instabil zu sein. </seg>","But we novelist seem to have this kind of reputation, but not only the novelist, but the creative of all genres who seem to have this reputation become mentally unstable.",3,2
"<seg id=""31""> Alles, was Sie tun müssen, ist, sich die bitteren Todeszahlen von wirklich großartigen Köpfen allein aus dem 20. Jahrhundert anzusehen, die jung und oft von eigener Hand starben. </seg>",All they need to do is to look at the bitter death figures of really great minds in the twentieth century that young and often died from their own hands.,3,2
"<seg id=""32""> Und selbst diejenigen, die nicht tatsächlich Suizid begingen, schienen von ihren Talenten wirklich vernachlässigt worden zu sein. </seg>",And even those who did not commit suicide seemed to have been negligible from their talent.,2,3
"<seg id=""33""> Norman Mailer sagte kurz vor seinem Tod in seinem letzten Interview: „Jedes meiner Bücher hat mich ein bisschen weiter getötet.“ </seg>",Norman Mailer said just before his death in his last interview: 'every of my books killed me a little further.,4,3
"<seg id=""34""> Eine außerordentliche Aussage, die Sie über Ihr Lebenswerk machen können. </seg>",An extraordinary statement that they can do about their life.,4,2
"<seg id=""35""> Aber wir zucken nicht einmal, wenn wir jemanden so etwas sagen hören, weil wir diese Art von Aussagen seit so langer Zeit kennen. Irgendwie haben wir die Auffassung so verinnerlicht und kollektiv akzeptiert, dass Kreativität und Leid irgendwie natürlich zusammengehören und dass Kunst – am Ende – immer zur Seelenqual führt. </seg>","But we don't even hear something like this, because we know this kind of statements for so long, somehow we accepted the view so internally and collectively that creativity and suffering are somehow cohesive, and that art – at the end – leads to the spirit of the spirit.",3,2
"<seg id=""36""> Die Frage, die ich heute jedem hier stellen möchte ist: Ist diese Idee für Sie völlig in Ordnung? </seg>",The question I want to ask anyone here today is this idea: is it entirely okay?,4,3
"<seg id=""37""> Fühlen Sie sich damit wohl? Denn mit nur einem Zentimeter Abstand betrachtet... Ich fühle mich mit dieser Auffassung überhaupt nicht wohl. </seg>","Do you feel like it? Because, with only one centimeter... I don't feel comfortable at all.",2,2
"<seg id=""38""> Ich finde sie abscheulich. </seg>",I find them disgusting.,5,4
"<seg id=""39""> Und ich finde sie gefährlich. Und ich will nicht zusehen, wie sie ins nächste Jahrhundert übernommen wird. </seg>","And I find them dangerous, and I do not want to see how it is taken into the next century.",4,3
"<seg id=""40""> Ich finde es besser, wenn wir unsere großen Kreativen ermuntern zu leben. </seg>",I find it better if we live our great creative encouraged.,2,3
"<seg id=""41""> Und ich weiß definitiv, dass es für mich – in meiner Situation – sehr gefährlich wäre, anzufangen, diesen dunklen Pfad der Vermutung sozusagen herunterzusickern – besonders in dem Umstand, in dem ich mich in meiner Karriere gerade befinde. </seg>",And I certainly know that it would be very dangerous for me – in my situation – start beginning to downturn this dark path of the presumption – especially the fact that I have just found in my career.,1,1
"<seg id=""42""> Das heißt – sehen Sie: Ich bin ziemlich jung. Ich bin nur ca. 40 Jahre alt. </seg>","That means, you see: I am quite young; I am just about 40 years old.",5,3
"<seg id=""43""> Ich habe vielleicht noch weitere 40 Arbeitsjahre in mir. </seg>",I may have another 40 years of work.,4,5
"<seg id=""44""> Und es ist äußerst wahrscheinlich, dass alles, was ich von jetzt an schreiben werde von der Welt als die Arbeit bewertet wird, die nach dem abgefahrenen Erfolg meines letzten Buches kam, richtig? </seg>",And it is highly likely that everything I will be evaluated from the world as the work that came after my final book's success?,3,2
"<seg id=""45""> Ich sage es geradeheraus, denn wir sind hier ja jetzt alle irgendwie Freunde – es ist höchst wahrscheinlich, dass mein größter Erfolg hinter mir liegt. </seg>","I say it, because we are all friends now – it is highly likely that my biggest success is behind me.",4,2
"<seg id=""46""> Oh, Jesus, was für ein Gedanke! </seg>","Oh Jesus, what a thought!",5,5
"<seg id=""47""> Das sind die Art von Gedanken, die jemanden dazu bringen können, um 9 Uhr morgens anzufangen, Gin zu trinken. Und das will ich nicht. </seg>","These are the kind of thought that someone can get to start at 9 a.M., drink gin, and I don't want to do so.",2,2
"<seg id=""48""> Ich würde lieber weiterhin diese Arbeit tun, die ich liebe. </seg>",I would rather do that work I love.,4,4
"<seg id=""49""> Also ist die Frage: wie? </seg>",So the question is: how?,5,5
"<seg id=""50""> Nach einiger Zeit des Reflektierens scheint mir, dass ich, um weiterhin schreiben zu können, eine Art von schützendem psychologischen Konstrukt entwerfen muss. </seg>","After some time of the reflections, I seem to think that I must continue to write a kind of protective psychological construct.",2,2
"<seg id=""51""> Irgendwie muss ich von nun an einen Weg finden, beim Schreiben eine sichere Distanz zu wahren zwischen mir und meiner sehr natürlichen Beklemmung darüber, wie die Reaktion auf das Geschriebene sein wird. </seg>","Somehow, I must find a way to maintain a safe distance between me and my very natural mitigation about how the response to the writing will be.",4,3
"<seg id=""52""> Während ich im vergangenen Jahr nach Modellen dafür gesucht habe, um das zu tun, habe ich auch in der Vergangenheit gesucht und ich habe versucht, andere Gesellschaften zu finden, um zu sehen, ob sie eventuell bessere oder vernünftigere Ideen darüber hatten als wir, wie man Kreativen helfen kann, mit den emotionalen Risiken umzugehen, die mit Kreativität verbunden sind. </seg>","While I searched for models last year to do so, I searched in the past, and I have tried to find other societies to see whether they might have better or reasonable ideas about how to help creative deal with the emotional risks associated with creativity.",3,2
"<seg id=""53""> Diese Suche führte mich ins alte Griechenland und das alte Rom. </seg>",This search led me to old Greece and the old Rome.,4,3
"<seg id=""54""> Bitte folgen Sie mir, denn der Kreis wird sich wieder schließen. </seg>","Please follow me, because the circle will resign.",3,2
"<seg id=""55""> Aber im alten Griechenland und Rom haben die Menschen nicht geglaubt, dass Kreativität von Menschen kommt, okay? </seg>","But, in the old Greece and Rome, people did not believe that creativity comes from people, okay?",5,3
"<seg id=""56""> Sie glaubten, dass Kreativität eine Art göttlicher Diener-Geist war, der aus einer entfernten, unbekannten Quelle zu den Menschen kommt – aus unerklärlichen, unbekannten Gründen. </seg>","They believed that creativity was a kind of divine reflection that comes from a distant, unknown source of people – for unexplained, unknown reasons.",3,4
"<seg id=""57""> Die Griechen nannten diese göttlichen Diener-Geister der Kreativität „Dämonen“. </seg>",The Greeks called the divine divisions of'demons creativity.,2,3
"<seg id=""58""> Von Sokrates ist bekannt, dass er daran glaubte, er hätte einen Dämon, der ihm Weisheiten aus weiter Ferne mitteilte. </seg>","Of the crown, he was known that he believed that he would have fared a death that he refused.",1,1
"<seg id=""59""> Die Römer hatten die gleiche Idee, nannten diese Art von körperlosem kreativem Geist ein „Genie“. </seg>","The Roman had the same idea, called this kind of body'creative spirit a'genius.",2,2
"<seg id=""60""> Das ist großartig. Die Römer dachten nicht wirklich, dass ein Genie ein besonders kluges Individuum war. </seg>",That is great. The Roman didn't really think that a genius was a particularly smart individual.,5,3
"<seg id=""61""> Sie glaubten, dass ein Genie diese Art magisches göttliches Wesen war, von dem geglaubt wurde, dass es sprichwörtlich in den Wänden eines Künstlerateliers lebt – ungefähr so wie Dobby, der Hauself – der rauskäme und dem Künstler bei der Arbeit gewissermaßen unsichtbar assistierte und das Ergebnis der Arbeit gestalten würde. </seg>","They believed that a genius was this kind of divine nature, which was believed that it lives literally in the walls of a British profession – roughly as Dobby, the house 11, and the artist in work would be invisible and shape the result of work.",2,2
"<seg id=""62""> Das ist brilliant – da ist es, da ist die Distanz, von der ich sprach – das psychologische Konstrukt, die Dich von den Folgen Deiner Arbeit schützen. </seg>",That is brilliant – there is the distance I spoke – the psychological construct that protect you from the consequences of your work.,3,3
"<seg id=""63""> Und jeder wusste, dass es so funktionierte, richtig? </seg>","And everyone knew that it worked, right?",4,5
"<seg id=""64""> Der Künstler des Altertums war vor gewissen Dingen geschützt, wie, zum Beispiel, zu viel Narzissmus, richtig? </seg>","The artist of aging was preoccupied with some things, such as, too much narcissism, right?",2,2
"<seg id=""65""> Wenn Deine Arbeit brilliant war konntest Du nicht alles Ansehen für Dich verbuchen. Jeder wusste, dass Du dieses körperlose Genie hattest, das Dir geholfen hat. </seg>",If your work brilliant was a conntest you don't look for you; everyone knew you had this useless genius that helped you.,1,1
"<seg id=""66""> Wenn Deine Arbeit floppte – nicht gänzlich Dein Fehler, oder? </seg>","If your work turned out – not entirely your mistakes, or?",1,2
"<seg id=""67""> Jeder wusste, Dein Genie war etwas lahm. </seg>",Everyone knew that your genius was wrong.,5,4
"<seg id=""68""> So haben die Menschen im Westen wirklich lange Zeit über Kreativität gedacht. </seg>","For example, people in the west have genuinely long thought about creativity.",4,3
"<seg id=""69""> Und dann kam die Renaissance und alles änderte sich. Wir hatten diese große Idee. Und diese große Idee war: lasst uns das menschliche Individuum ins Zentrum des Universums stellen – über alle Götter und Mysterien. Und es gibt keinen Raum mehr für mystische Kreaturen, die Befehle vom Göttlichen annehmen. </seg>","And then the Renaissance and everything changed. We had this great idea, and this great idea was: let us put the individual into the center of the universe – all gods and mysterious, and there is no room for mystical beings who take orders from divine.",4,2
"<seg id=""70""> Es ist der Beginn des rationalen Humanismus und die Menschen begannen zu glauben, dass Kreativität komplett vom eigenen Individuum kam. </seg>","It is the beginning of rational humanism, and people began to believe that creativity came entirely from the individual.",5,3
"<seg id=""71""> Zum ersten Mal in der Geschichte hört man Menschen diesen oder jenen Künstler ein Genie nennen – anstelle davon, dass er ein Genie hat. </seg>","For the first time in history, people say a genius for those or artists – rather than that of he has a genius.",2,1
"<seg id=""72""> Ich muss Ihnen sagen: ich denke, das war ein großer Fehler. </seg>",I must tell you: I think that was a big mistake.,5,5
"<seg id=""73""> Wissen Sie? Ich denke, einer bloßen Person zu erlauben, dass er denkt, er oder sie sei wie das Gefäß, wie das Becken und die Essenz und die Quelle allen göttlichen, kreativen, unbekanntem, unendlichen Mysteriums ist ein klein bisschen zu viel Verantwortung, um sie einer fragilen, menschlichen Psyche aufzubürden. </seg>","Do you know? I consider allowing a mere person to think he or she is like the vessel, like the basin, and the essence, and the source of all divine, creative, unknown, unfulfilled, is a small too much responsibility to impose a fragile, human psyche.",2,1
"<seg id=""74""> Es ist wie jemanden zu bitten, die Sonne zu schlucken. </seg>",It is like someone to swallow the sun.,2,1
"<seg id=""75""> Das entstellt und verzerrt ganze Egos und es erzeugt all diese unerreichbaren Erwartungen an den Erfolg. </seg>","That entails and skews entire egos, creating all of these unachievable expectations of success.",4,2
"<seg id=""76""> Ich denke, dass dieser Erfolgs-Druck unsere Künstler der letzten 500 Jahre vernichtet hat. </seg>",I think that this success has destroyed our artists of the last 500 years.,3,4
"<seg id=""77""> Und, wenn das stimmt, – und ich denke, es stimmt – ist die Frage: </seg>","And, if that is true – and I think it is true – the question is:",5,5
"<seg id=""78""> Können wir es ändern? </seg>",Can we change?,4,5
"<seg id=""79""> Vielleicht zu einem altertümlichen Verständnis über die Beziehung zwischen Menschen und dem Mysterium des Kreativen zurückzukehren. </seg>",Perhaps an aging knowledge about the relationship between people and the mystery of creative.,2,2
"<seg id=""80""> Vielleicht nicht. </seg>",Perhaps not.,5,5
"<seg id=""81""> Vielleicht können wir das Gedankengut aus 500 Jahren rationalen Humanismus nicht einfach in einem 18-minütigen Vortrag auslöschen. </seg>",Perhaps we cannot easily trigger the thought well from 500 years of rational humanism in an 18-minute presentation.,2,3
"<seg id=""82""> Und es gibt sicherlich Menschen in diesem Publikum, die wirklich berechtigte wissenschaftliche Zweifel anmelden würden über die Vorstellung von – grundsätzlich – Feen, die Menschen nachfolgen und Feenzauber auf ihre Projekte usw. anwenden. </seg>","And there are certainly people in this audience who would claim genuinely legitimate scientific doubts about the idea of – fundamentally – featuring people's aftermath, and apply intense magic to their projects and so forth.",1,2
"<seg id=""83""> Ich werde wahrscheinlich nicht alle von Ihnen auf diese Reise mitnehmen können. </seg>",I will probably not take all of them on this trip.,2,3
"<seg id=""84""> Aber die Frage, die ich aufwerfen will ist: Warum nicht? </seg>",But the question I want to raise is: why not?,5,5
"<seg id=""85""> Warum nicht so darüber denken? </seg>",Why not think so?,5,4
"<seg id=""86""> Denn es macht genauso viel Sinn wie alles andere, von dem ich gehört habe, wenn es darum ging, die absolut verrückt machende Launenhaftigkeit des kreativen Prozesses zu erklären. </seg>",For it makes much sense like anything I heard when it comes to declaring the absolutely crazy capriciousness of the creative process.,3,2
"<seg id=""87""> Ein Prozess, der sich – wie jeder weiß, der es je versucht hat, etwas zu machen – also in anderen Worten: eigentlich jeder hier – nicht immer vernünftig verhält. </seg>","A process that – like anyone who has ever tried to make something – in other words, everyone here – does not always behave reasonably.",5,2
"<seg id=""88""> In der Tat kann er sich manchmal geradezu paranormal anfühlen. </seg>","Indeed, it can sometimes feel even paranormal.",5,4
"<seg id=""89""> Ich hatte kürzlich eine solche Begegnung als ich die außerordentliche amerikanische Dichterin Ruth Stone traf, die nun über 90 ist, die aber ihr ganzes Leben lang Dichterin war. Sie erzählte mir, dass sie als Sie im dörflichen Virginia aufwuchs draußen auf den Feldern arbeitete. Sie sagte, sie würde fühlen und hören können wie ein Gedicht über die Landschaft auf sie zukäme. </seg>","I recently met such an encounter as I met the extraordinary American subsidiaries in Ruth stone, who is now more than 90, but she was a subsidiary for her entire life; she told me that she was working out in the field in the village of Virginia, who said she would listen to the landscape.",1,1
"<seg id=""90""> Sie sagte es wäre wie ein donnernder Zug aus Luft, </seg>",She said it would be like a no-fly train.,1,4
"<seg id=""91""> der über das Land auf sie zurollen würde. </seg>",The country on them would roles.,1,1
"<seg id=""92""> Sie fühlte, wenn es kam, denn es würde die Erde unter ihren Füßen zum Beben bringen. </seg>","It felt when it came, because it would put the earth beneath its feet.",1,1
"<seg id=""93""> Sie wusste, dass sie in einem solchen Moment nur eines tun konnte. Und das war – in ihren Worten – „rennen wie der Teufel“. </seg>",She knew that she could do just one moment in her words – 'race like the devil.,2,2
"<seg id=""94""> Sie rannte wie der Teufel zum Haus während sie von diesem Gedicht verfolgt wurde. Es ging einzig darum, dass sie schnell genug zu einem Blatt Papier und einem Stift gelangen musste, damit sie es, wenn es durch sie hindurch donnerte, einfangen und auf dem Blatt festhalten konnte. </seg>","It ran like the devil to the house while being pursued by this poem; it was only about having to get quickly enough to a leaf, and a pen to capture it if it could capture through them and stick on the tables.",1,1
"<seg id=""95""> Bei anderen Malen war sie nicht schnell genug. Sie rannte und rannte und rannte, aber sie erreichte das Haus nicht und das Gedicht rollte durch sie hindurch und sie verpasste es. Sie sagte es würde weiter über Land ziehen und – wie sie sagte – „nach einem anderen Dichter suchen“. </seg>","In other words, she was not quick enough; he ran and ran and ran; but she didn't get the house and the poem by them; she missed it; she said it would continue to pull over land and – as she said, 'look for another poet.",2,2
"<seg id=""96""> Und dann gab es diese Momente – den Teil werde ich nie vergessen – sie sagte, dass es Augenblicke gab in denen sie es fast verpasste. </seg>",And then there were these moments – the part of I would never forget – saying that there were moments in which they were almost,2,1
"<seg id=""97""> Also: sie rennt zum Haus und sucht nach dem Papier und das Gedicht fährt durch sie hindurch und sie greift einen Stift gerade als es durch sie hindurchgeht und dann – sagte sie – war es so als würde mit ihrer anderen Hand danach greifen und es zu packen kriegen. </seg>","So she is running to the house and addiction to paper, and the poem is driving through her, taking down a pen just as she goes through and then – she said – it was as if her other hand had to pick up and get it.",2,2
"<seg id=""98""> Sie erwischte das Gedicht an seinem Schwanz und zog es zurück in ihren Körper und übernahm es auf das Blatt Papier. </seg>","It turned the poem to its tail, and drew it back into its body, and took on the tables.",1,1
"<seg id=""99""> Bei diesen Gelegenheiten kam das Gedicht einwandfrei und intakt auf dem Papier an – aber rückwärts – vom letzten Wort zum ersten. </seg>","In these occasions, the poem came freely and intact on paper – but backwards – from the last word to the first.",3,2
"<seg id=""100""> Als ich das hörte dachte ich „das ist unheimlich – das ist genau, wie mein kreativer Prozess abläuft.“ </seg>","When I heard this, I thought, 'that is scary – exactly how my creative process is happening.",4,4
"<seg id=""101""> Das ist überhaupt nicht wie mein kreativer Prozess – ich bin nicht der Kanal! </seg>",This is not like my creative process – I am not the channel!,5,4
"<seg id=""102""> Ich bin ein Maultier. Um arbeiten zu können muss ich jeden Tag zur gleichen Zeit aufstehen und schwitzen, mich abmühen und wirklich unangenehm durchquälen. </seg>","I am a silver lining; I need to stand up to work every day, and sweat, I am hard, and genuinely unpleasant.",2,2
"<seg id=""103""> Aber selbst ich in meiner Maultierart habe manchmal dieses Ding gestreift. </seg>",But even I have sometimes strengthened this thing in my multuous way.,1,2
"<seg id=""104""> Und ich schätze, dass viele von Ihnen das auch getan haben. </seg>",And I estimate that many of them have done so.,4,4
"<seg id=""105""> Selbst ich hatte Arbeiten oder Ideen, die aus einer Quelle durch mich hindurchkamen, die ich wirklich nicht identifizieren kann. </seg>",Even I had work or ideas that came from a source of mine that I really cannot identify.,4,3
"<seg id=""106""> Was ist das für ein Ding? </seg>",What is this for one thing?,3,3
"<seg id=""107""> Und wie treten wir damit in Beziehung ohne darüber unseren Verstand zu verlieren, sondern uns im Gegenteil sogar bei geistiger Gesundheit zu halten? </seg>","And how do we engage with this without losing our sense, but even on the contrary to intellectual health?",2,2
"<seg id=""108""> Für mich ist das beste lebende Beispiel, wie man dies schaffen kann der Musiker Tom Waits. Ich durfte ihn vor einigen Jahren für ein Magazin interviewen. </seg>","For me, the best living example is how to create that can Tom Waits, and I took him a magazine interview a few years ago.",2,1
"<seg id=""109""> Wir sprachen dabei über dieses Thema. Und wissen Sie was? Die meiste Zeit seines Lebens war Tom die Verkörperung des gepeinigten modernen Künstlers, der versuchte, diese unkontrollierbaren kreativen Impulse, die in ihm wohnten, zu beherrschen und mit ihnen zurechtzukommen. </seg>","We spoke about this issue. And do you know what? Most of his life, Tom was the embodiment of the embarrassing modern artist, who tried to master this uncontrollable creative stimulus in him and deal with them.",3,3
"<seg id=""110""> Aber dann wurde er älter und ruhiger. Er erzählte mir, dass er eines Tages auf einer Schnellstraße in Los Angeles fuhr. Und da änderte sich alles für ihn. </seg>","But then he was older and quiet, told me that he was going to Los Angeles one day, and everything changed for him.",4,4
"<seg id=""111""> Er fuhr mit hoher Geschwindigkeit als er plötzlich ein kleines Fragment einer Melodie hört, die, wie es bei Inspirationen oft ist, für ihn quälend schwer greifbar ist. Und er will sie haben. Sie ist prachtvoll. Er lechzt danach, aber er kann sie nicht fassen. </seg>","He went at a high speed when he suddenly heard a small fragment of a tune that is often difficult for him, and he wants to have them, and he is filled with him, but he cannot think it.",2,2
"<seg id=""112""> Er hat kein Stück Papier, er hat keinen Stift, er hat keinen Kassettenrekorder. </seg>",He has no piece of paper; he has no pen; he has no ccp record.,4,4
"<seg id=""113""> Er beginnt also, diese alte Beklemmung in ihm aufsteigen, wie z.B. „Ich werde dieses Ding verlieren und werde von diesem Song auf ewig verfolgt werden. </seg>","So it begins to move this old tightening into him, such as'i will lose this thing, and that song will last forever.",1,1
"<seg id=""114""> Ich bin nicht gut genug, ich schaffe es nicht.“ </seg>","I am not good enough, I cannot.",4,3
"<seg id=""115""> Aber anstatt in Panik zu geraten, hörte er einfach auf. </seg>","But, instead of panic, he stopped listening.",2,3
"<seg id=""116""> Er beendete den ganzen Gedankengang und tat etwas komplett Neues. </seg>",He ended the idea and did something entirely new.,4,3
"<seg id=""117""> Er blickte einfach in den Himmel und sagte: „Entschuldigung, kannst Du nicht sehen, dass ich Auto fahre?“ </seg>","He simply looked in the sky, saying, 'excuse, can you not see me driving cars?",3,3
"<seg id=""118""> „Sehe ich so aus als könnte ich gerade einen Song aufschreiben? </seg>",'do I look like I might just write a song?,4,4
"<seg id=""119""> Wenn Du wirklich existieren willst, komm zu einem günstigeren Moment wieder, wenn ich mich um Dich kümmern kann. </seg>","If you really want to exist, come at a more favorable moment when I can care about you.",5,4
"<seg id=""120""> Wenn nicht, quäle heute jemand anderen. </seg>","If not, quals are someone else today.",1,2
"<seg id=""121""> Geh und quäle Leonard Cohen.“ </seg>",You and quals Leonard Cohen.,1,1
"<seg id=""122""> Sein ganzer Arbeitsprozess hat sich danach geändert. </seg>",His entire labor process has changed after that.,4,3
"<seg id=""123""> Nicht die Arbeit selbst. Die war weiterhin oft so dunkel wie eh und je. </seg>","Not the work itself, which was often as dark as ever.",5,4
"<seg id=""124""> Aber der Prozess und die schwere Beklemmung, die ihn umgibt, war aufgehoben als er das Genie aus sich heraus nahm, wo er nichts als Ärger verursachte und ihn dahin zurückließ wo er sozusagen herkam. Er erkannte, dass es kein verinnerlichtes, quälendes Ding sein musste. </seg>","But the process and the severity surrounding him was lifted when he came out of the genius, where he had nothing caused in trouble and left him where he came to speak, recognizing that it had to be an internally tormented thing.",2,1
"<seg id=""125""> Es konnte eine eigentümliche, wundersame, bizarre Zusammenarbeit geben, eine Art Konversation zwischen Tom und dem fremdartigen, äußerlichen Ding, das nicht ganz Tom war. </seg>","There could be an owner, miraculous, bizarre collaboration, a kind of conversation between Tom and the xenophobic thing that was not quite Tom.",3,1
"<seg id=""126""> Als ich diese Geschichte gehört habe veränderte es auch ein bisschen die Art, wie ich arbeitete und es hat mich schon einmal gerettet. </seg>","When I heard this story, it changed a bit of the way I worked, and it saved me once.",3,3
"<seg id=""127""> Diese Idee rettete mich als ich mitten im Schreibprozess von „Eat, Pray, Love“ war. Ich fiel in eine dieser Gruben des Zweifels in die wir alle fallen, wenn wir an etwas arbeiten und es nicht klappt. Du fängst an zu denken, dass es ein Desaster wird. Das wird das schlechteste Buch, das je geschrieben wurde. </seg>","This idea saved me when I was in the midst of'eat, Pray, 'i fell into one of the doubts of the doubt we all fall when we work in something, and you start thinking that a disaster will be written the worst.",1,2
"<seg id=""128""> Nicht nur schlecht, sondern des schlechteste aller Zeiten. </seg>","Not only bad, but the worst of all times.",5,4
"<seg id=""129""> Ich begann zu denken, ich sollte das Projekt einfach einstampfen. </seg>","I started thinking, I should simply pick up the project.",1,4
"<seg id=""130""> Aber dann erinnerte ich mich daran, wie Tom in den freien Himmel gesprochen hatte und ich versuchte es. </seg>","But then I was reminded of how Tom had spoken in the free sky, and I tried.",4,2
"<seg id=""131""> Ich hob also meinen Blick vom Manuskript und sprach meinen Kommentar in Richtung einer leeren Ecke des Raums. </seg>","So I emphasized my view of the manuscripts, and I spoke my comments toward a empty corner of the space.",2,2
"<seg id=""132""> Ich sprach laut: „Hör zu, Du Ding, Du und ich wissen beide, wenn dieses Buch nicht brillant ist, dass es nicht komplett meine Schuld ist, richtig? </seg>","I said, 'stop you, you, you, and I know both when this book is not brilliant that it is not entirely my guilt?",1,2
